Course,Instructor,Term,Title,NetId
ECE-485,"Liu, Gang L",2012-fa,MEMS Devices & Systems,
ECE-199,"Jones, Douglas L",2012-fa,Undergraduate Open Seminar,dl-jones
ECE-304,"Choquette, Kent D",2012-fa,Photonic Devices,choquett
ECE-206,"Zhang, Jianhua",2010-fa,Elec & Electronic Circuits Lab,jhdzhang
ECE-431,"Haran, Kiruba S",2017-sp,Electric Machinery,kharan
ECE-437,"Makela, Jonathan J",2010-fa,Sensors and Instrumentation,jmakela
ECE-439,"Kravets, Robin H",2015-fa,Wireless Networks,rhk
ECE-120,"Kindratenko, Volodymyr",2018-fa,Introduction to Computing,kindrtnk
ECE-398,"Carney, Paul S",2016-fa,Innovation and Eng. Design,
ECE-453,"Franke, Steven J",2017-fa,Wireless Communication Systems,s-franke
ECE-566,"Moulin, Pierre",2018-fa,Computational Inference,pmoulin
ECE-444,"Lyding, Joseph W",2012-fa,IC Device Theory & Fabrication,lyding
ECE-490,"Kumar, P R",2011-sp,Introduction to Optimization,
ECE-343,"Radhakrishnan, Chandrasek",2013-sp,Electronic Circuits Laboratory,
ECE-417,"Hasegawa-Johnso, Mark A",2014-sp,Multimedia Signal Processing,
ECE-385,"Cheng, Zuofu",2018-sp,Digital Systems Laboratory,zcheng1
ECE-459,"Basar, Tangul",2013-fa,Communications Systems,tangul
ECE-343,"Radhakrishnan, Chandrasek",2016-fa,Electronic Circuits Laboratory,
ECE-534,"Hajek, Bruce",2013-fa,Random Processes,b-hajek
ECE-385,"Cheng, Zuofu",2017-fa,Digital Systems Laboratory,zcheng1
ECE-120,"Kindratenko, Volodymyr",2015-fa,Introduction to Computing,kindrtnk
ECE-576,"Overbye, Thomas J",2014-sp,Power System Dynm & Stability,overbye
ECE-311,"Bresler, Yoram",2015-fa,Digital Signal Processing Lab,ybresler
ECE-517,"Liberzon, Daniel M",2018-fa,Nonlinear & Adaptive Control,liberzon
ECE-453,"Franke, Steven J",2016-fa,Wireless Communication Systems,s-franke
ECE-482,"Rosenbaum, Elyse",2016-fa,Digital IC Design,elyse
ECE-481,"Lyding, Joseph W",2011-sp,Nanotechnology,lyding
ECE-515,"Baryshnikov, Yuliy",2018-fa,Control System Theory & Design,ymb
ECE-316,"Hillmer, Philip M",2015-fa,Ethics and Engineering,hillmer
ECE-535,"Leburton, Jean-Pierre",2011-fa,Theory of Semicond & Devices,jleburto
ECE-411,"Kim, Nam Sung",2018-sp,Computer Organization & Design,
ECE-333,"O'Connell, Timothy C",2013-sp,Green Electric Energy,tcoconne
ECE-398,"Milenkovic, Olgica",2015-sp,Making Sense of Big Data,milenkov
ECE-520,"Jin, Jianming",2017-fa,EM Waves & Radiating Systems,j-jin1
ECE-445,"Oelze, Michael L",2014-fa,Senior Design Project Lab,oelze
ECE-316,"Hillmer, Philip M",2016-sp,Ethics and Engineering,hillmer
ECE-534,"Raginsky, Maxim",2012-fa,Random Processes,maxim
ECE-510,"Jain, Kanti",2013-fa,Micro and Nanolithography,kjain
ECE-329,"Waldrop, Lara",2011-fa,Fields and Waves I,lwaldrop
ECE-190,"Nicol, David M",2010-fa,Intro to Computing Systems,dmnicol
ECE-110,"Haken, Lippold",2010-sp,Intro Elec & Computer Engrg,l-haken
ECE-205,"Zhang, Jianhua",2011-sp,Elec & Electronic Circuits,jhdzhang
ECE-110,"Schmitz, Christopher",2013-fa,Intro Elec & Computer Engrg,cdschmit
ECE-453,"Franke, Steven J",2012-fa,Wireless Communication Systems,s-franke
ECE-566,"Moulin, Pierre",2017-fa,Computational Inference,pmoulin
ECE-515,"Meyn, Sean P",2010-sp,Control System Theory & Design,
ECE-520,"Jin, Jianming",2015-fa,EM Waves & Radiating Systems,j-jin1
ECE-398,"Do, Minh N",2018-fa,Making Sense of Big Data,minhdo
ECE-431,"Haran, Kiruba S",2016-sp,Electric Machinery,kharan
ECE-391,"Borisov, Nikita",2016-sp,Computer Systems Engineering,nikita
ECE-411,"Kumar, Rakesh",2014-fa,Computer Organization & Design,rakeshk
ECE-534,"Srikant, Rayadurgam",2015-sp,Random Processes,rsrikant
ECE-482,"Shanbhag, Naresh R",2018-fa,Digital IC Design,shanbhag
ECE-198,"Vasudevan, Shobha",2014-sp,Intro to Computer Engineering,shobhav
ECE-476,"Dominguez-Garci, Alejandr",2014-fa,Power System Analysis,
ECE-210,"Schutt-Aine, Jose E",2016-fa,Analog Signal Processing,jesa
ECE-206,"Haney, Michael J",2013-sp,Elec & Electronic Circuits Lab,
ECE-517,"Liberzon, Daniel M",2013-fa,Nonlinear & Adaptive Control,liberzon
ECE-455,"Eden, James G",2017-fa,Optical Electronics,
ECE-473,"Oelze, Michael L",2012-fa,Fund of Engrg Acoustics,oelze
ECE-398,"Bresler, Yoram",2017-fa,Making Sense of Big Data,ybresler
ECE-199,"Varodayan, David",2017-sp,ECE 110 Merit Section,
ECE-486,"Belabbas, Mohamed Ali",2017-sp,Control Systems,belabbas
ECE-304,"Choquette, Kent D",2013-fa,Photonic Devices,choquett
ECE-440,"Gilbert, Matthew",2010-sp,Solid State Electronic Devices,matthewg
ECE-534,"Milenkovic, Olgica",2017-fa,Random Processes,milenkov
ECE-456,"Gao, Xingxin",2016-fa,Global Nav Satellite Systems,
ECE-329,"Waldrop, Lara",2018-fa,Fields and Waves I,lwaldrop
ECE-340,"Liu, Gang L",2014-fa,Semiconductor Electronics,
ECE-534,"Veeravalli, Venugopal V",2016-sp,Random Processes,vvv
ECE-205,"Cheng, Zuofu",2014-fa,Elec & Electronic Circuits,zcheng1
ECE-316,"Hillmer, Philip M",2015-sp,Ethics and Engineering,hillmer
ECE-342,"Hanumolu, Pavan Kumar",2015-sp,Electronic Circuits,hanumolu
ECE-437,"Bernhard, Jennifer T",2011-fa,Sensors and Instrumentation,jbernhar
ECE-515,"Salapaka, Srinivasa M",2011-sp,Control System Theory & Design,
ECE-476,"Overbye, Thomas J",2015-fa,Power System Analysis,overbye
ECE-437,"Gruev, Viktor",2017-sp,Sensors and Instrumentation,vgruev
ECE-391,"Bailey, Michael D",2017-fa,Computer Systems Engineering,mdbailey
ECE-411,"Kumar, Rakesh",2010-sp,Computer Organization & Design,rakeshk
ECE-395,"Haken, Lippold",2011-sp,Advanced Digital Projects Lab,l-haken
ECE-490,"Hu, Bin",2018-fa,Introduction to Optimization,binhu7
ECE-486,"Raginsky, Maxim",2014-sp,Control Systems,maxim
ECE-350,"Kudeki, Erhan",2012-fa,Fields and Waves II,erhan
ECE-469,"Krein, Philip T",2014-fa,Power Electronics Laboratory,krein
ECE-290,"Brown, Donna J",2010-fa,Computer Engineering I,djb
ECE-110,"Haken, Lippold",2013-sp,Intro Elec & Computer Engrg,l-haken
ECE-473,"Oelze, Michael L",2014-fa,Fund of Engrg Acoustics,oelze
ECE-480,"Liang, Zhi-Pei",2014-fa,Magnetic Resonance Imaging,z-liang
ECE-486,"Belabbas, Mohamed Ali",2014-fa,Control Systems,belabbas
ECE-411,"Kumar, Rakesh",2017-sp,Computer Organization & Design,rakeshk
ECE-418,"Do, Minh N",2015-sp,Image & Video Processing,minhdo
ECE-464,"Pilawa Podgursk, Robert C",2015-fa,Power Electronics,
ECE-402,"Haken, Lippold",2015-fa,Electronic Music Synthesis,l-haken
ECE-549,"Lazebnik, Svetlana",2016-sp,Computer Vision,
ECE-333,"Davis, Katherine M",2012-fa,Green Electric Energy,krogers6
ECE-361,"Varshney, Lav R",2016-sp,Digital Communications,varshney
ECE-445,"Fliflet, Arne W",2018-fa,Senior Design Project Lab,afliflet
ECE-457,"Bernhard, Jennifer T",2014-sp,Microwave Devices & Circuits,jbernhar
ECE-485,"Liu, Gang L",2011-fa,MEMS Devices & Systems,
ECE-462,"Chen, Deming",2018-sp,Logic Synthesis,dchen
ECE-547,"Huang, Thomas S",2011-fa,Topics in Image Processing,t-huang1
ECE-206,"Harris, Kyle A",2012-fa,Elec & Electronic Circuits Lab,
ECE-391,"Borisov, Nikita",2011-sp,Computer Systems Engineering,nikita
ECE-380,"Boppart, Stephen A",2017-fa,Biomedical Imaging,boppart
ECE-110,"Minin, Serge",2016-sp,Introduction to Electronics,
ECE-350,"Kudeki, Erhan",2015-fa,Fields and Waves II,erhan
ECE-551,"Hasegawa-Johnso, Mark A",2011-fa,Digital Signal Processing II,
ECE-473,"King, Daniel A",2013-sp,Fund of Engrg Acoustics,
ECE-561,"Veeravalli, Venugopal V",2010-sp,Detection & Estimation Theory,vvv
ECE-316,"Hillmer, Philip M",2011-sp,Ethics and Engineering,hillmer
ECE-340,"Leburton, Jean-Pierre",2016-fa,Semiconductor Electronics,jleburto
ECE-455,"Eden, James G",2013-fa,Optical Electronics,
ECE-490,"Srikant, Rayadurgam",2014-sp,Introduction to Optimization,rsrikant
ECE-431,"Krein, Philip T",2010-sp,Electric Machinery,krein
ECE-298,"Chen, Deming",2014-sp,Digital System Design Lab,dchen
ECE-469,"Pilawa Podgursk, Robert C",2016-fa,Power Electronics Laboratory,
ECE-330,"Sowidan, Hassan",2017-fa,Power Ckts & Electromechanics,
ECE-329,"Ilie, Raluca",2017-fa,Fields and Waves I,rilie
ECE-515,"Dullerud, Geir E",2015-sp,Control System Theory & Design,dullerud
ECE-441,"Leburton, Jean-Pierre",2010-sp,Physcs & Modeling Semicond Dev,jleburto
ECE-340,"Gilbert, Matthew",2012-fa,Semiconductor Electronics,matthewg
ECE-395,"Haken, Lippold",2016-sp,Advanced Digital Projects Lab,l-haken
ECE-482,"Rosenbaum, Elyse",2014-fa,Digital IC Design,elyse
ECE-190,"Hu, Yih-Chun",2012-fa,Intro to Computing Systems,yihchun
ECE-333,"Overbye, Thomas J",2015-sp,Green Electric Energy,overbye
ECE-469,"Pilawa, Robert",2012-fa,Power Electronics Laboratory,
ECE-547,"Huang, Thomas S",2010-fa,Topics in Image Processing,t-huang1
ECE-210,"Schutt-Aine, Jose E",2017-fa,Analog Signal Processing,jesa
ECE-431,"Haran, Kiruba S",2015-sp,Electric Machinery,kharan
ECE-485,"Liu, Gang L",2017-fa,MEMS Devices & Systems,
ECE-307,"Gross, George",2014-sp,Techniques for Engrg Decisions,gross
ECE-445,"Kumar, Rakesh",2018-sp,Senior Design Project Lab,rakeshk
ECE-330,"Sauer, Peter W",2012-fa,Power Ckts & Electromechanics,psauer
ECE-445,"Makela, Jonathan J",2011-fa,Senior Design Project Lab,jmakela
ECE-391,"Kalbarczyk, Zbigniew T",2014-sp,Computer Systems Engineering,kalbarcz
ECE-580,"Srikant, Rayadurgam",2013-fa,Optimiz by Vector Space Methds,rsrikant
ECE-498,"Levchenko, Kirill I",2018-fa,eCrime & Internet Serv Abuse,klevchen
ECE-210,"Basar, Tangul",2011-fa,Analog Signal Processing,tangul
ECE-340,"Carney, Paul S",2011-fa,Semiconductor Electronics,
ECE-490,"Kumar, P R",2010-sp,Introduction to Optimization,
ECE-333,"Gross, George",2015-fa,Green Electric Energy,gross
ECE-402,"Haken, Lippold",2017-fa,Electronic Music Synthesis,l-haken
ECE-408,"Patel, Sanjay J",2013-fa,Applied Parallel Programming,sjp
ECE-431,"Sauer, Peter W",2013-sp,Electric Machinery,psauer
ECE-408,"Hwu, Wen-Mei W",2017-fa,Applied Parallel Programming,
ECE-329,"Liang, Zhi-Pei",2015-fa,Fields and Waves I,z-liang
